Sl. No,Soil Series,Area,Lat,Long,"Depth, cm, beginning","Depth, end",Sand,Clay,pH,Organic Carbon
,,,24.0472222222,87.7802777778,37,55,34.4,25.3,7.5,0.28
,,,24.0472222222,87.7802777778,55,88,44,23.6,7.7,0.19
,,,24.0472222222,87.7802777778,88,103,61,24.1,7.8,0.15
14,JAGADISHPUR,26716,24.2019444444,86.8475,0,13,9.5,19.7,5,0.74
,,,24.2019444444,86.8475,13,29,12.1,21.4,6.3,0.48
,,,24.2019444444,86.8475,29,43,10.2,30.5,6.2,0.31
,,,24.2019444444,86.8475,43,62,8.1,32.5,6,0.27
,,,24.2019444444,86.8475,62,93,6.7,40.4,5.8,0.27
,,,24.2019444444,86.8475,93,112,6.8,42.3,5.8,0.19
,,,24.2019444444,86.8475,112,130,5.3,42.8,6,0.19
15,BELUTI,34367,23.9452777778,87.7544444444,0,13,82.2,7.8,6.7,0.16
,,,23.9452777778,87.7544444444,13,27,60,25.4,6.5,0.23
,,,23.9452777778,87.7544444444,27,43,44,27.4,6.8,0.33
,,,23.9452777778,87.7544444444,43,65,16,37.4,7,0.24
,,,23.9452777778,87.7544444444,65,84,18,41.1,6.5,0.15
,,,23.9452777778,87.7544444444,84,115,19,47.1,6.2,0.14
16,RAMNAGAR,29455,23.8755555556,87.8558333333,28,54,55,22,7,0.1
1,Moktarpur,,23.0602777778,88.455,0,11,8.8,41.7,6.5,0.64
,,,23.0602777778,88.455,11,36,3.2,46.7,6.8,0.4
,,,23.0602777778,88.455,36,62,0,56.7,6.9,0.33
,,,23.0602777778,88.455,62,82,0,51.7,7,0.31
,,,23.0602777778,88.455,82,100,0,41.7,7.3,0.19
,,,23.0602777778,88.455,100,150,0,36.7,7.5,0.12
2,Kazidanga,,23.9205555556,88.455,0,10,12,20.3,7,0.49
,,,23.9205555556,88.455,10,25,11.2,26.3,6.9,0.37
,,,23.9205555556,88.455,25,62,10.8,28.3,7.6,0.31
,,,23.9205555556,88.455,62,94,23.6,28.3,8,0.08
,,,23.9205555556,88.455,94,132,8.8,20.3,8,0.08
,,,23.9205555556,88.455,132,150,20.8,15.3,7.9,0.08
3,Kanagarh,,23.9041666667,88.3777777778,0,12,1.2,29.3,7.7,1.36
,,,23.9041666667,88.3777777778,12,24,1.4,31.6,7.5,0.75
,,,23.9041666667,88.3777777778,24,41,1.7,26.2,7.5,0.48
,,,23.9041666667,88.3777777778,41,55,0.5,26,7.5,0.42
,,,23.9041666667,88.3777777778,55,71,0.4,15.2,7.9,0.26
,,,23.9041666667,88.3777777778,71,86,0.3,23.3,7.9,0.4
,,,23.9041666667,88.3777777778,86,99,2.3,19.3,8,0.35
,,,23.9041666667,88.3777777778,99,140,0.5,42.2,7.7,0.42
4,Benabhauri,,22.9080555556,88.3544444444,0,15,1.4,35.5,7.6,0.57
,,,22.9080555556,88.3544444444,15,30,12.8,15.5,7.9,0.16
,,,22.9080555556,88.3544444444,30,47,7,26.5,7.8,0.2
,,,22.9080555556,88.3544444444,47,56,7.4,20.5,7.7,0.19
,,,22.9080555556,88.3544444444,56,101,18,14.5,8,0.17
,,,22.9080555556,88.3544444444,101,150,72,7.5,8.2,0.14
5,Baligori,,23.125,88.4322222222,0,12,44,21.9,6.1,0.45
,,,23.125,88.4322222222,12,36,44.4,20.1,6.4,0.56
,,,23.125,88.4322222222,36,71,44.4,23.1,6.5,0.53
,,,23.125,88.4322222222,71,101,42.4,27.1,6.2,0.48
,,,23.125,88.4322222222,101,150,74.8,16.1,6.3,0.4
6,Kota,,22.8038888889,87.6975,0,19,2.4,63.7,6.5,0.93
,,,22.8038888889,87.6975,19,45,3,61.7,6.9,0.45
,,,22.8038888889,87.6975,45,89,12.9,49.7,7,0.91
,,,22.8038888889,87.6975,89,150,13.9,49.7,7.2,0.4
7,Horal,,23.0702777778,88.19,0,11,22.8,25.5,5.5,0.62
,,,23.0702777778,88.19,11,18,16.8,36.5,7.3,0.35
,,,23.0702777778,88.19,18,45,12.4,45.5,7.8,0.3
,,,23.0702777778,88.19,45,88,22,41.5,7.7,0.17
,,,23.0702777778,88.19,88,113,34.4,21.5,7.4,0.13
8,Naraharibati,,23.9655555556,87.6919444444,0,12,20.2,12.8,5.2,1.6
,,,23.9655555556,87.6919444444,12,31,22.5,15.5,5.5,1.2
,,,23.9655555556,87.6919444444,31,48,20.4,38.6,5.8,0.4
,,,23.9655555556,87.6919444444,48,88,21.2,36.8,6,0.5
,,,23.9655555556,87.6919444444,88,150,20.8,35.2,6.3,0.5
9,Ramnathpur,,22.9919444444,88.2633333333,0,13,50.6,10.4,5.9,0.12
,,,22.9919444444,88.2633333333,13,22,20.8,29.1,6.9,0.11
,,,22.9919444444,88.2633333333,22,44,21.4,31.5,7.1,0.08
,,,22.9919444444,88.2633333333,44,61,51.5,11.5,7.2,0.06
10,Sitalpur,,22.7994444444,87.8572222222,0,18,7.2,30.2,5.5,0.92
,,,22.7994444444,87.8572222222,18,39,6.2,50.4,5.5,0.82
,,,22.7994444444,87.8572222222,39,88,7.2,47.2,6.1,0.73
,,,22.7994444444,87.8572222222,88,150,6.4,44,6.8,0.65
11,Chuchura,,22.8944444444,88.3188888889,0,10,15.2,63.7,6.4,0.38
,,,22.8944444444,88.3188888889,10,28,14.3,64.5,7,0.32
,,,22.8944444444,88.3188888889,28,48,7.2,47.2,7.2,0.21
,,,22.8944444444,88.3188888889,48,69,12.2,70.4,7.2,0.2
,,,22.8944444444,88.3188888889,69,111,10.6,71.5,7.3,0.14
,,,22.8944444444,88.3188888889,111,150,12.3,71,7.5,0.12
12,Simla,,22.8944444444,88.3680555556,0,12,7.2,45.3,6.2,0.39
,,,22.8944444444,88.3680555556,12,26,8.6,43.9,6.9,0.35
,,,22.8944444444,88.3680555556,26,37,8.4,39.5,7.4,0.32
,,,22.8944444444,88.3680555556,37,87,9.2,42.2,7.5,0.21
,,,22.8944444444,88.3680555556,87,104,10.3,71.7,7.7,0.18
,,,22.8944444444,88.3680555556,104,150,9.5,73.6,7.8,0.16
13,Debandapur,,23.9361111111,88.37,0,16,13.2,29.1,5.7,0.98
,,,23.9361111111,88.37,16,33,12.1,33.4,6.3,0.81
,,,23.9361111111,88.37,33,67,13.5,29.7,6.3,0.8
,,,23.9361111111,88.37,67,106,6.4,44.6,6.2,0.61
,,,23.9361111111,88.37,106,128,8.2,44,6.4,0.52
,,,23.9361111111,88.37,128,150,20,18.5,6.5,0.41
14,Dirghangi,,22.79,88.3188888889,0,17,6.5,75.5,7.1,0.37
,,,22.79,88.3188888889,17,39,6.8,76.2,7.8,0.35
,,,22.79,88.3188888889,39,72,7.2,75.7,6.3,0.31
,,,22.79,88.3188888889,72,116,6.6,75.9,8.2,0.24
,,,22.79,88.3188888889,116,150,8.5,72.6,8.4,0.18
15,Garji,,22.8513888889,88.3127777778,0,13,10.6,43.7,6.2,0.38
,,,22.8513888889,88.3127777778,13,36,8.5,71.7,7,0.35
,,,22.8513888889,88.3127777778,36,102,8.8,71.5,7.9,0.21
,,,22.8513888889,88.3127777778,102,150+,9.3,69.6,7.8,0.18
16,Arandi,,22.8116666667,87.8713888889,0,10,16,28.1,5.6,0.99
,,,22.8116666667,87.8713888889,10,21,11.3,44.3,6.7,0.94
,,,22.8116666667,87.8713888889,21,42,8.6,71.9,6.8,0.82
,,,22.8116666667,87.8713888889,42,58,8.4,72.8,7,0.71
,,,22.8116666667,87.8713888889,58,81,9.2,70.9,7.2,0.62
,,,22.8116666667,87.8713888889,81,150,8.8,70.3,7.5,0.51
17,Harit,,22.9186111111,88.2602777778,0,11,13.6,26.5,5,0.19
,,,22.9186111111,88.2602777778,11,18,12.5,29.1,5.9,0.18
,,,22.9186111111,88.2602777778,18,48,12.8,43.2,6.6,0.16
,,,22.9186111111,88.2602777778,48,58,19.6,42.6,7.2,0.08
,,,22.9186111111,88.2602777778,58,127,72,8.2,7.1,0.04
,,,22.9186111111,88.2602777778,127,150,79.4,6.6,7,0.02
18,Nandanpur,,22.6511111111,87.8430555556,0,11,10.2,67.1,6.7,0.39
,,,22.6511111111,87.8430555556,11,21,10.6,69.2,7,0.34
,,,22.6511111111,87.8430555556,21,36,8.4,68.8,7.1,0.32
,,,22.6511111111,87.8430555556,36,59,12.4,48.2,7.2,0.21
,,,22.6511111111,87.8430555556,59,88,9.6,69.4,7.3,0.22
,,,22.6511111111,87.8430555556,88,150+,15.2,41.9,7.5,0.18
19,Satmasa,,22.7866666667,87.8880555556,0,14,5.2,32.1,6.7,0.92
,,,22.7866666667,87.8880555556,14,42,10.2,64.4,7.4,0.82
,,,22.7866666667,87.8880555556,42,99,11.2,65.4,7.7,0.72
,,,22.7866666667,87.8880555556,99,150,10.2,65.7,7.9,0.61
20,Rangamati,,23.8655555556,87.6505555556,0,13,72,8.2,5.4,0.78
,,,23.8655555556,87.6505555556,13,29,54,21.3,5.3,0.72
,,,23.8655555556,87.6505555556,29,64,40.1,25.3,5.7,0.51
,,,23.8655555556,87.6505555556,64,150,24.9,36.5,5.9,0.21
21,Daulatpur,,22.6472222222,87.8947222222,0,10,26.2,29.5,6.7,1.8
,,,22.6472222222,87.8947222222,10,23,23.1,31.2,6.6,1.61
,,,22.6472222222,87.8947222222,23,44,42.6,11.9,7,1.1
,,,22.6472222222,87.8947222222,61,82,43.5,13.8,7.1,0.62
,,,22.6472222222,87.8947222222,82,91,42.1,13.2,7.1,0.52
,,,22.6472222222,87.8947222222,91,100,40.1,14.6,7.2,0.41
,,,22.6472222222,87.8947222222,106,120,41.6,11.7,7.2,0.18
22,Chandur,,23.8955555556,87.9933333333,0,8,50.3,10,7,1.62
,,,23.8955555556,87.9933333333,8,18,49.4,10.9,6.4,1.52
,,,23.8955555556,87.9933333333,18,32,16.6,41.3,6.8,0.81
,,,23.8955555556,87.9933333333,32,51,18.4,36.7,6.7,0.71
,,,23.8955555556,87.9933333333,51,65,32.5,26.5,7,0.25
23,Garmandaran,,22.8777777778,87.6808333333,0,11,6.2,16,5.5,0.92
,,,22.8777777778,87.6808333333,11,22,7.3,11,6.9,0.85
,,,22.8777777778,87.6808333333,22,41,48.6,10,7,0.72
,,,22.8777777778,87.6808333333,41,85,15.3,32.8,7.2,0.61
,,,22.8777777778,87.6808333333,85,114,16.4,32,7.3,0.32
,,,22.8777777778,87.6808333333,114,150,16.2,32.4,7.1,0.35
